Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,Year
Jets  Jets,586,345,58.9,7.1,3947,26,13,86.5,198,33.8,55,15,77T,41,2013
Giants  Giants,601,361,60.1,6.3,3573,21,17,78.3,198,32.9,41,5,56,34,2013
Saints  Saints,507,304,60.0,6.8,3105,20,12,83.6,168,33.1,40,10,60,49,2013
Patriots  Patriots,589,336,57.0,7.0,3824,25,17,81.0,208,35.3,55,9,80T,48,2013
Vikings  Vikings,648,419,64.7,7.5,4595,37,12,98.6,247,38.1,57,9,80T,41,2013
Dolphins  Dolphins,580,344,59.3,6.9,3752,17,18,77.3,192,33.1,53,10,67,42,2013
Raiders  Raiders,549,374,68.1,7.9,4092,33,9,105.1,202,36.8,55,11,71T,38,2013
Rams  Rams,521,355,68.1,8.1,3874,21,14,94.7,203,39.0,51,11,81T,53,2013
Chiefs  Chiefs,592,334,56.4,7.2,3962,25,21,78.5,189,31.9,63,16,77,47,2013
Jaguars  Jaguars,551,354,64.2,7.6,3962,29,11,96.5,200,36.3,65,8,95T,31,2013
Colts  Colts,536,324,60.4,7.4,3711,21,15,84.6,191,35.6,51,8,81T,42,2013
Texans  Texans,484,287,59.3,6.8,3123,29,7,93.9,158,32.6,37,10,64T,32,2013
Titans  Titans,545,344,63.1,7.0,3612,15,13,83.3,191,35.0,49,3,55,36,2013
Packers  Packers,539,332,61.6,7.8,3956,30,11,95.9,190,35.3,61,8,67,44,2013
Lions  Lions,572,338,59.1,7.3,3950,24,15,85.0,197,34.4,52,14,85T,33,2013
Broncos  Broncos,613,357,58.2,7.1,4070,29,17,84.5,208,33.9,61,8,82T,41,2013
Cowboys  Cowboys,623,403,64.7,7.8,4589,33,15,96.0,231,37.1,71,8,87,34,2013
Browns  Browns,605,363,60.0,6.2,3538,29,14,84.1,197,32.6,41,5,50,40,2013
Bengals  Bengals,614,362,59.0,5.9,3344,22,20,74.2,178,29.0,36,9,74T,43,2013
Bears  Bears,507,315,62.1,7.7,3730,25,19,86.9,184,36.3,59,7,48T,31,2013
Panthers  Panthers,563,375,66.6,6.8,3429,17,20,81.4,178,31.6,48,8,73,60,2013
Bills  Bills,561,310,55.3,6.5,3271,28,23,74.9,170,30.3,47,14,74,57,2013
Ravens  Ravens,552,314,56.9,7.1,3681,25,16,82.2,176,31.9,50,17,79T,40,2013
Falcons  Falcons,516,341,66.1,8.0,3897,31,10,102.4,196,38.0,52,17,67,32,2013
Redskins  Redskins,519,345,66.5,8.2,3990,35,7,108.3,195,37.6,56,12,79T,36,2014
Buccaneers  Buccaneers,563,387,68.7,7.6,4084,28,14,97.4,223,39.6,48,5,56T,36,2014
Seahawks  Seahawks,507,313,61.7,6.3,2970,17,13,80.4,175,34.5,32,6,60T,37,2014
49ers  49ers,551,324,58.8,6.8,3531,29,23,79.5,188,34.1,49,8,63,36,2014
Chargers  Chargers,524,320,61.1,6.9,3427,24,7,91.3,168,32.1,47,5,77T,26,2014
Steelers  Steelers,543,350,64.5,7.8,4049,30,11,98.3,193,35.5,50,15,81T,33,2014
Cardinals  Cardinals,579,365,63.0,7.6,4152,22,18,86.0,195,33.7,62,14,86T,35,2014
Eagles  Eagles,591,345,58.4,7.8,4238,30,12,91.6,211,35.7,72,18,81T,49,2014
Jets  Jets,538,345,64.1,7.5,3746,31,6,101.5,194,36.1,45,14,87T,45,2014
Giants  Giants,522,324,62.1,8.0,3850,25,17,89.4,187,35.8,62,13,74T,47,2014
Saints  Saints,546,341,62.5,7.7,4019,26,12,92.9,205,37.5,54,10,73T,34,2014
